,Index,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
64,64,0,0.551747672,0.603576101,0.602120028,0.607575779,0.607611813,0.999123921,0.797629757,0.809511645,0.303620481,0.781775449,6960000000.0,2600000000.0,0.468387811,0.000339034,0.133616763,0.226623404,0.226623404,0.226623404,0.254419968,0.333663436,0.042530665,0.127595473,0.208480832,0.022137172,0.848074449,0.689552383,0.689550248,0.21760847,8940000000.0,0.000505276,0.264419423,0.385725197,0.007250523,0.005721864,0.630736565,0.005284564,0.108292771,0.891707229,0.005271395,0.372109877,0.005365848,0.127477323,0.207171405,0.399002978,0.124437781,0.000921145,0.006869698,0.000226422,0.000175507,0.02983871,0.014015246,0.399561294,0.011392268,0.766879777,0.286269451,0.337599558,0.040612248,0.006000783,0.002470819,0.08693361,0.356587616,0.277504104,0.003583078,0.75426194,0.732982647,0.329800774,0.006467075,0.950547859,0.002763363,0.011844299,0.000115711,0.000102098,0.593930137,4000000000.0,0.671569299,0.36006708,0.75426194,0.329800774,0.114210473,0.638990922,0.458357348,0.621024595,0.313986227,0.039917868,0,0.832948472,0.037664785,0.625541511,0.607574814,0.842747741,0.278611798,0.026817936,0.565282927,1,0.034860375
66,66,0,0.516794228,0.573648059,0.55864875,0.605204745,0.605204745,0.99906349,0.797525449,0.809406837,0.303564648,0.781679027,9160000000.0,730000000.0,0.470061985,690000000.0,0.272395991,0.189920357,0.189920357,0.189920357,0.237780089,0.338367405,0.045691728,0.117091442,0.193869097,0.022134422,0.848107624,0.689451568,0.689451568,0.217601621,5380000000.0,0.000454544,0.264051876,0.399109571,0.009595602,0.005743699,0.63065232,0.007237892,0.13075551,0.86924449,0.006747558,0.371074275,0.006098884,0.117087628,0.192911545,0.40890487,0.152923538,0.000486949,0.012987102,7050000000.0,0.001247465,0.041290323,0.024499508,0.40033016,0.002912204,0.816853239,0.410198071,0.648757961,0.002408051,0.005873283,0.000100891,0.126452094,0.364567356,0.277503473,0.009963317,0.916735677,0.736824234,0.332155835,0.0,0.940256144,0.002485076,0.017964525,0.000152552,974000000.0,0.593957087,16000000.0,0.67157171,0.078182671,0.916735677,0.332155835,0.110933234,0.641784171,0.459052114,0.666188271,0.31437495,0.030390217,0,0.82278429,0.000631811,0.623716938,0.605206436,0.842267871,0.280028324,0.026800261,0.565201435,1,0.028335789
74,74,0,0.517379223,0.573975142,0.558220461,0.602624714,0.602624714,0.999021662,0.797436081,0.809344993,0.303496006,0.781605624,9200000000.0,136000000.0,0.464145341,0.000440044,0.27887438,0.177531499,0.177531499,0.177531499,0.236078283,0.3328146,0.117503819,0.128654018,0.197860963,0.022183364,0.84850928,0.69004056,0.69004056,0.217666883,7680000000.0,0.00059359,0.264424086,0.397898737,0.009055198,0.005991364,0.631116697,0.016345216,0.190222813,0.809777187,0.00937038,0.376137093,0.005365848,0.128617259,0.192753186,0.421675109,0.35982009,0.001073316,0.005895388,0.000130503,0.007921288,0.133225806,0.046572566,0.40140431,0.00075919,0.838874701,0.661081072,0.961748388,0.223686637,0.006020847,0.005997439,0.197869514,0.348908155,0.27748455,0.008186587,0.996213395,0.742066344,0.340700601,0.0,0.938344832,0.002318819,0.040487724,0.000105675,7390000000.0,0.593942155,7240000000.0,0.671586057,0.021986626,0.996213395,0.340700601,0.110933234,0.697955674,0.466694529,0.615116255,0.328835029,0.032164398,0,0.817014622,0.000342143,0.623734773,0.602625747,0.842754812,0.286632886,0.026917926,0.565698114,1,0.018331276
91,91,0,0.520109199,0.569068905,0.567053911,0.601298664,0.60126263,0.99902559,0.797443136,0.809350852,0.303499631,0.78161222,6610000000.0,475000000.0,0.458037459,0.000515052,0.260856362,0.181745396,0.181745396,0.181745396,0.225867448,0.310108227,0.053828819,0.111473007,0.184680274,0.022149861,0.848122635,0.690068606,0.690068606,0.217669093,0.000117255,0.000549396,0.264423309,0.366295965,0.012172817,0.007290199,0.631459158,0.008133395,0.139341536,0.860658464,0.005489414,0.374965051,0.005524276,0.111493804,0.181192972,0.405802072,0.260869565,0.001499396,0.004215749,0.000138146,0.000484159,0.059193548,0.038552943,0.400284932,0.011135217,0.844577516,0.515221167,0.680458065,0.0550967,0.008919737,0.002775146,0.105104656,0.333433686,0.277247294,0.008750573,0.713316245,0.739253687,0.331418411,0.006091557,0.937419516,0.002358974,0.020022143,0.000122288,951000000.0,0.593961694,2860000000.0,0.671579424,0.243025446,0.713316245,0.331418411,0.118297607,0.660710212,0.462520432,0.531959727,0.317697952,0.024050768,0,0.811072694,0.003068127,0.624205152,0.601296202,0.841363951,0.280677614,0.026992831,0.565965912,1,0.026375451
94,94,0,0.500219373,0.559692543,0.551742599,0.604030038,0.603972384,0.999052975,0.797480903,0.809387828,0.303508574,0.781654326,8220000000.0,2650000000.0,0.464588209,0.000268027,0.149002936,0.182925288,0.182925288,0.182925288,0.226434717,0.323760345,0.030037661,0.108134517,0.180839045,0.022041326,0.847978373,0.689275301,0.689275301,0.217579248,7070000000.0,0.000457988,0.263636929,0.380183302,0.009875788,0.007572175,0.631035534,0.008449831,0.14218339,0.85781661,0.005554848,0.375614819,0.005519401,0.10811471,0.179873313,0.403729521,0.116941529,0.000657381,0.009615015,902000000.0,0.000278391,0.032903226,0.021626544,0.398588906,0.01025851,0.810836305,0.452628183,0.562639855,0.056415204,0.00770861,0.002797836,0.106754573,0.347525697,0.277268053,0.00594845,0.710385311,0.736707327,0.331597761,0.006259649,0.936835265,0.002420035,0.013399265,0.000197001,0.000162082,0.593970902,5450000000.0,0.671551724,0.214248598,0.710385311,0.331597761,0.117318129,0.615376835,0.454341955,0.59626005,0.309625175,0.029546899,0,0.810861196,0.002530073,0.624159951,0.60402795,0.841369214,0.280907208,0.026909353,0.565665287,1,0.025780114
95,95,0,0.459123483,0.510957261,0.505808662,0.602660747,0.60258868,0.999016693,0.797317385,0.809256589,0.303298779,0.781503308,9620000000.0,3460000000.0,0.467267222,0.00049605,0.0,0.165732586,0.165521891,0.165521891,0.202514891,0.330975454,0.039172981,0.105447439,0.160126535,0.022090521,0.848067873,0.685937179,0.687983084,0.217418676,5590000000.0,0.000453421,0.26343878,0.400935137,0.006743817,0.005718121,0.628920494,0.011727264,0.166520543,0.833479457,0.006531847,0.378907272,0.006172004,0.105264872,0.160266948,0.403769712,0.166416792,0.00081361,0.007777403,0.000228905,0.00069976,0.053225806,0.04128784,0.399663056,0.00506356,0.766207063,0.440059424,0.49496124,0.10301112,0.005852186,0.004013781,0.13600644,0.354433749,0.277614057,0.002658021,0.777001737,0.733394066,0.334361461,0.00736538,0.926508907,0.002171371,0.042213557,0.00010401,968000000.0,0.593923871,6340000000.0,0.671580372,0.086908857,0.777001737,0.334361461,0.118779025,0.659895,0.461879454,0.63864435,0.318172038,0.042812007,0,0.781470021,0.044330421,0.623705415,0.602658445,0.838511681,0.283284064,0.026445386,0.562707878,1,0.021484238
115,115,0,0.441963633,0.488552115,0.494137802,0.594697243,0.594697243,0.998901724,0.79728363,0.809219743,0.303480295,0.781470746,8480000000.0,0.0,0.460659437,0.000290029,0.0,0.16762884,0.16762884,0.16762884,0.198827645,0.316120818,0.037509264,0.084927937,0.156887851,0.021979504,0.847525944,0.686068232,0.686068232,0.217210936,6520000000.0,0.000409576,0.263263942,0.373942849,0.008249584,0.003351895,0.630194449,0.008733437,0.144632222,0.855367778,0.005236857,0.377513795,0.005365848,0.084892602,0.155923384,0.408957119,0.188905547,0.001219401,0.005188351,6520000000.0,0.000333616,0.045645161,0.012860773,0.389407747,0.005008571,0.797874564,0.273623265,0.633063231,0.031860812,0.003432079,0.001181675,0.142909548,0.338600031,0.278048258,0.012790302,0.939457836,0.735738034,0.333546847,0.00135306,0.920920242,0.00203576,0.023556289,0.000127303,5300000000.0,0.593940965,1840000000.0,0.671569234,0.294311814,0.939457836,0.333546847,0.112508783,0.636064299,0.458065692,0.554969334,0.313315441,0.035220091,0,0.769159788,0.000539275,0.622973389,0.594696552,0.837615353,0.281112596,0.026679979,0.56456595,1,0.025283563
123,123,0,0.52576415,0.596325774,0.581133894,0.599050145,0.599230315,0.999005369,0.797613987,0.809516853,0.303840668,0.781786957,5370000000.0,312000000.0,0.461020105,0.00029603,0.046664642,0.265981206,0.265981206,0.265981206,0.261132646,0.316828181,0.047098326,0.105040306,0.209610605,0.022078447,0.848007713,0.689449664,0.689449693,0.217598784,6810000000.0,0.000471563,0.264102385,0.369360307,0.01397874,0.013135584,0.630616361,0.002455795,0.062490552,0.937509448,0.008340767,0.369718822,0.005409111,0.1050206,0.208687128,0.400416386,0.110944528,0.000419993,0.015060393,0.000318137,0.000877537,0.024677419,0.02277808,0.395332534,0.003204792,0.827844804,0.484401184,0.494741417,0.103354173,0.013243457,0.008165108,0.066838157,0.339571455,0.277029248,0.00225287,0.98346212,0.735977233,0.328418985,0.0,0.950183759,0.002884997,0.009791564,0.000177265,0.000179402,0.593988939,0.000102809,0.671542204,0.061715026,0.98346212,0.328418985,0.110933234,0.603790102,0.443919406,0.562276819,0.309923524,0.020970863,0,0.833514856,0.015226825,0.625342576,0.599048203,0.842254304,0.276560449,0.026792318,0.565163927,1,0.06174572
134,134,0,0.520791693,0.55266027,0.565287221,0.607301921,0.607301921,0.999094225,0.797473709,0.809386396,0.303409719,0.781642255,9440000000.0,0.0,0.47110373,0.000167017,0.098997874,0.189203995,0.189203995,0.189203995,0.221612934,0.333663436,0.020735968,0.108134517,0.176922498,0.022380065,0.865671851,0.69001566,0.69001566,0.217816834,8400000000.0,0.000458861,0.264164549,0.393791215,0.010399344,0.010216635,0.630972178,0.005830803,0.115155546,0.884844454,0.005208075,0.375118267,0.005365848,0.108090283,0.17595204,0.397294831,0.091454273,0.000738539,0.008557876,0.000727033,0.000102884,0.023870968,0.011991246,0.397277312,0.014550917,0.812367635,0.552896942,0.535067801,0.01862686,0.010430988,0.001020701,0.096571698,0.363800703,0.276986781,0.000273996,0.790137694,0.736101384,0.330353677,0.004843418,0.935110276,0.002351014,0.015105707,0.000261176,0.000276688,0.593993663,2460000000.0,0.671561188,0.400330077,0.790137694,0.330353677,0.114938905,0.632059498,0.456888447,0.651574362,0.312905328,0.028086302,0,0.806654299,0.001497532,0.622621053,0.607300835,0.840853154,0.279007612,0.026899977,0.565628831,1,0.032607106
142,142,0,0.55881636,0.603576101,0.592483538,0.605521844,0.605579498,0.999075969,0.797617445,0.809472326,0.303699033,0.78173994,8490000000.0,2610000000.0,0.459409678,0.000342034,0.262779634,0.208166533,0.208166533,0.208166533,0.2475182,0.312690104,0.042334044,0.117987135,0.21616329,0.022116248,0.848076096,0.689507458,0.689507458,0.217605231,8420000000.0,0.000707382,0.264239924,0.369090198,0.010794974,0.008434323,0.630736565,0.004858698,0.102578831,0.897421169,0.00704269,0.371460109,0.005365848,0.117958865,0.205195687,0.401514959,0.152923538,0.000671583,0.009403246,0.000158591,0.000812479,0.039677419,0.023832675,0.401099025,0.00350316,0.814893784,0.442059276,0.530380689,0.150182159,0.008726096,0.008608431,0.092300485,0.335621878,0.277202457,0.005695618,0.845317201,0.735991489,0.329911108,0.000914842,0.945858746,0.002673918,0.014415544,0.000147568,0.000126752,0.593963437,0.000117955,0.671607928,0.081657819,0.845317201,0.329911108,0.111634992,0.701620617,0.473672958,0.547649996,0.322956772,0.027073541,0,0.833426388,0.001026221,0.624122491,0.605517935,0.842702402,0.278303072,0.02681975,0.565291142,1,0.036959758
