,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
40,0,0.496319407,0.554132141,0.546388993,0.600851843,0.600851843,0.998980065,0.797534856,0.809452536,0.303755348,0.781702606,0.000104998,0.0,0.464128566,0.000589059,0.0,0.20256205,0.20256205,0.20256205,0.223692919,0.319763741,0.015094454,0.09657194,0.178654817,0.022080502,0.84798155,0.689982651,0.689982651,0.218366843,7640000000.0,0.000486885,0.264178536,0.376979248,0.006321353,0.002838474,0.631744771,0.007487758,0.133234574,0.866765426,0.005416611,0.374782758,0.006371259,0.09655251,0.177369731,0.395827835,0.047976012,0.001913303,0.003303774,0.000103179,8090000000.0,0.018387097,0.011203972,0.392664119,0.018586676,0.752338294,0.058013931,0.111228374,0.018207277,0.003343,0.00283077,0.033727399,0.342643116,0.281030209,0.008044042,0.230480393,0.732052728,0.327801535,0.048999383,0.935350358,0.002448695,0.008302049,9600000000.0,5190000000.0,0.593918929,4440000000.0,0.671583012,0.297007821,0.230480393,0.327801535,0.120745606,0.648617373,0.460358982,0.573194817,0.315530872,0.045559964,0,0.806582438,0.114600055,0.626809867,0.600846859,0.840936435,0.280209331,0.027081661,0.5662449,1,0.027742998
41,0,0.58518988,0.641681204,0.62680015,0.606228109,0.606228109,0.999057828,0.797579263,0.80946178,0.303670029,0.781726466,0.000113555,4890000000.0,0.471211092,0.00010401,0.175118939,0.222999452,0.222999452,0.222999452,0.287321547,0.348199759,0.100972518,0.140949434,0.243579122,0.022118508,0.84806585,0.689400555,0.689400555,0.217593428,0.000105667,0.000492075,0.26395319,0.390233225,0.009573761,0.008400635,0.630633484,0.009364484,0.14983221,0.85016779,0.005768084,0.372927398,0.006033684,0.140944843,0.241444838,0.399771979,0.254872564,0.001915332,0.00330292,0.000591562,0.000863164,0.059354839,0.023994242,0.399708283,0.004701206,0.799880065,0.456611612,0.482986453,0.033987532,0.008793932,0.001901457,0.094579424,0.358417434,0.2771013,0.002368751,0.595911085,0.736039873,0.331229488,0.007982246,0.957379462,0.002562918,0.027612405,8160000000.0,8220000000.0,0.593938981,1740000000.0,0.671575085,0.166857543,0.595911085,0.331229488,0.118298566,0.649968367,0.460472123,0.650729247,0.315893815,0.030458903,0,0.849780378,0.004367607,0.623896243,0.606226286,0.845084804,0.281570453,0.026796582,0.565184132,1,0.024283207
46,0,0.454589772,0.507250327,0.503185395,0.607943326,0.607936119,0.998882774,0.797310468,0.809241356,0.303566823,0.78149643,0.000316035,6550000000.0,0.459639499,0.00019702,0.0,0.160886604,0.160886604,0.160886604,0.207809398,0.315413454,0.021855196,0.087289309,0.164419673,0.022090568,0.847985608,0.689563838,0.689563838,0.217613069,6660000000.0,0.000421554,0.264431856,0.37231288,0.006458014,0.004877185,0.630265339,0.007845229,0.136681077,0.863318923,0.005433102,0.374685461,0.008071317,0.087262039,0.163471835,0.401934292,0.139430285,0.000797379,0.0079405,0.00019413,0.000294278,0.03516129,0.006483263,0.390244454,0.00278765,0.758858868,0.322970709,0.390484451,0.035274571,0.005217837,0.00166538,0.112164245,0.336557544,0.278298665,0.003558489,0.776867538,0.732555974,0.331676864,0.004705229,0.912448892,0.002179181,0.049421204,0.000106187,9140000000.0,0.593920926,2790000000.0,0.671566381,0.236837554,0.776867538,0.331676864,0.11416782,0.633261742,0.457476174,0.546420564,0.312891783,0.044632204,0,0.781259416,0.000336276,0.623707258,0.607943339,0.838776337,0.280468457,0.026692377,0.564638826,1,0.02695891
56,0,0.476965827,0.545082861,0.527651373,0.610018882,0.610018882,0.999096421,0.797528769,0.80942233,0.303501565,0.781689694,0.000135757,0.0,0.467834227,0.000682068,0.177548335,0.191184527,0.191184527,0.191184527,0.224543821,0.342187168,0.018195018,0.106668838,0.179483317,0.022088103,0.848028064,0.689309492,0.689309492,0.217583347,4370000000.0,0.000452123,0.26389258,0.413732722,0.009804026,0.000563952,0.632976603,0.011064299,0.16222753,0.83777247,0.007010405,0.3770877,0.00543714,0.106494374,0.178538572,0.41707852,0.044977511,0.001339109,0.004722117,573000000.0,0.000472811,0.021451613,0.138413407,0.454569096,0.038705202,0.840911536,0.07257744,0.856091481,0.044734454,0.000732093,0.001453966,0.163143597,0.359234342,0.278168088,0.023768267,0.959252845,0.740157037,0.335680977,0.000636445,0.940477781,0.002411997,0.009208442,0.000680914,5490000000.0,0.594097501,9360000000.0,0.671592947,0.058326332,0.959252845,0.335680977,0.112062039,0.655699145,0.461285687,0.661930512,0.317194463,0.029758605,0,0.805763613,0.019860422,0.622108934,0.610016413,0.841044219,0.282802935,0.026797563,0.565188758,1,0.022150845
58,0,0.502218106,0.541757523,0.557952781,0.603864282,0.603864282,0.998991042,0.797413946,0.809336921,0.303521142,0.781592852,0.000142464,79800000.0,0.463881969,0.000254025,0.055369977,0.183683789,0.183683789,0.183683789,0.218492956,0.323618872,0.032049246,0.099747578,0.173608496,0.022076456,0.847990443,0.689314426,0.689299047,0.217581216,7320000000.0,0.000447657,0.264026233,0.379605827,0.004200923,0.002529673,0.632627978,0.014826872,0.183420504,0.816579496,0.004961023,0.38401147,0.005365848,0.099581481,0.172739612,0.400945576,0.091454273,0.001093606,0.005782672,0.000102606,635000000.0,0.033709677,0.017928117,0.393749576,0.038750741,0.724664183,0.151545647,0.237397387,0.021585081,0.002640538,0.001104063,0.103493071,0.344701611,0.276484233,0.004385151,0.533567823,0.729124847,0.333330835,0.035152353,0.933073338,0.002277578,0.015449395,0.00010241,6690000000.0,0.593883375,2690000000.0,0.671575735,0.75591775,0.533567823,0.333330835,0.131859827,0.646493752,0.459772473,0.588512369,0.315435761,0.06714878,0,0.800253662,0.005118647,0.626133817,0.603860398,0.840562432,0.285531784,0.027361625,0.566924899,1,0.019153221
70,0,0.508750548,0.574738334,0.560522512,0.600332954,0.600051889,0.999007912,0.797441476,0.809358533,0.303533711,0.78161994,6430000000.0,3580000000.0,0.450198368,0.000172017,0.106083612,0.182798871,0.182798871,0.182798871,0.230216508,0.295960954,0.063795998,0.109274489,0.184077728,0.022049575,0.84799489,0.689334537,0.689334537,0.217585603,8190000000.0,0.000451874,0.263744162,0.328434112,0.009668613,0.007298933,0.63065232,0.006170948,0.119176467,0.880823533,0.005603263,0.373222645,0.005365848,0.10927093,0.18308574,0.4059548,0.301349325,0.001436499,0.004403609,0.000269604,0.000743637,0.059516129,0.055361838,0.400669365,0.009595978,0.815927946,0.49440816,0.631697181,0.046614682,0.007339335,0.002019896,0.122250826,0.30804659,0.277306099,0.006366932,0.970292513,0.736442261,0.331582377,0.0,0.939263246,0.00242026,0.020922133,822000000.0,6700000000.0,0.593939516,1840000000.0,0.671545798,0.191367474,0.970292513,0.331582377,0.110933234,0.556185468,0.440854227,0.437896571,0.301012805,0.030166973,0,0.81926103,0.0009405,0.623864418,0.600330104,0.841850172,0.279254308,0.026802317,0.565211054,1,0.03140004
72,0,0.519280456,0.582642826,0.578938915,0.602660747,0.602660747,0.999035758,0.79747869,0.809403191,0.30354072,0.781656852,7840000000.0,577000000.0,0.466770673,0.000609061,0.0,0.202857022,0.202857022,0.202857022,0.231729224,0.322168777,0.041910553,0.109844475,0.184830911,0.022126599,0.848104471,0.689560058,0.689560058,0.217608287,7250000000.0,0.000459535,0.264216612,0.377081703,0.014127257,0.008791159,0.630766702,0.0023491,0.060313813,0.939686187,0.005099899,0.37059338,0.005597397,0.109857182,0.183854913,0.397588231,0.185907046,0.003359946,0.001882015,0.000173494,0.000193663,0.033870968,0.045009767,0.403202099,0.037016176,0.813648542,0.274657908,0.399451893,0.019150179,0.00942575,0.001886932,0.053494182,0.353830001,0.277270884,0.012488329,0.812210549,0.735200971,0.327954973,0.0,0.950333579,0.002519505,0.016566569,8050000000.0,5690000000.0,0.593951804,1170000000.0,0.671574407,0.587738951,0.812210549,0.327954973,0.110933234,0.647400605,0.461087768,0.591358804,0.315091755,0.020752151,0,0.824036421,0.009190027,0.6241532,0.60265617,0.841680511,0.276482664,0.026842314,0.56539106,1,0.063970147
79,0,0.588992346,0.629851723,0.62503346,0.603907522,0.60393635,0.999057135,0.797533196,0.809423241,0.303591235,0.78168801,7760000000.0,5640000000.0,0.468433104,0.001309131,0.194857779,0.197589651,0.197589651,0.197589651,0.252623617,0.330975454,0.069256016,0.126374074,0.20810424,0.022093302,0.848033993,0.689423696,0.689423696,0.217595694,9730000000.0,0.000518876,0.264078296,0.393157856,0.009653636,0.007137982,0.630688963,0.00502102,0.104785803,0.895214197,0.005210883,0.370332802,0.005365848,0.126337388,0.207194028,0.399343268,0.299850075,0.003520234,0.001796624,0.000251452,0.000424395,0.057580645,0.070469868,0.414599398,0.025358664,0.805788616,0.40846975,0.534099689,0.264315695,0.007164985,0.013499203,0.103650037,0.360378542,0.277328935,0.006779394,0.931159116,0.73545505,0.330417912,0.0,0.947669579,0.002565642,0.024873026,7320000000.0,5840000000.0,0.59393716,0.000111968,0.671572338,0.370663458,0.931159116,0.330417912,0.110933234,0.643053558,0.459304366,0.632277108,0.314584208,0.030211435,0,0.844837074,0.005544584,0.623843731,0.603906738,0.843552647,0.278420197,0.026810636,0.565249596,1,0.036122475
80,0,0.534636572,0.603358046,0.586112747,0.610761181,0.610768388,0.999121841,0.797718434,0.809598487,0.303779518,0.781872431,0.000122459,5180000000.0,0.478956242,0.000185019,0.089179067,0.184189457,0.184189457,0.184189457,0.236551007,0.328959468,0.016107809,0.107320251,0.189575958,0.022101725,0.848033358,0.689369941,0.689368902,0.217588994,6780000000.0,0.000444263,0.263803219,0.380937744,0.008800597,0.0075048,0.630618416,0.002672831,0.066753333,0.933246667,0.005991443,0.369823948,0.005697329,0.106160535,0.186780786,0.395933673,0.089955022,0.001272154,0.00496975,0.000213046,0.000260992,0.021129032,0.015674985,0.400352774,0.00767242,0.771838142,0.209847946,0.24112948,0.102820237,0.007467966,0.010468908,0.051753288,0.37849539,0.277232135,0.003794974,0.712849956,0.733055466,0.327945521,0.0,0.945414097,0.002748776,0.013765833,0.000103506,9440000000.0,0.593940139,0.000127522,0.671605812,0.172191068,0.712849956,0.327945521,0.110933234,0.677889627,0.47216745,0.649211107,0.318789823,0.03307231,0,0.837772958,0.007555183,0.623837594,0.610756417,0.842550795,0.276717301,0.026792941,0.565166888,1,0.057777165
81,0,0.482425779,0.548517226,0.530917073,0.610667493,0.610667493,0.999155003,0.797516042,0.809403451,0.303356545,0.781669905,8750000000.0,0.0,0.455915385,0.000362036,0.248102035,0.197252539,0.197252539,0.197252539,0.229932873,0.223951333,0.033047476,0.125152675,0.187467048,0.022248631,0.848404593,0.689222671,0.689222671,0.217585341,0.000103301,0.000455218,0.263650139,0.236559741,0.007093894,0.000371185,0.633068383,0.040125298,0.24207153,0.75792847,0.175089038,0.410427147,0.005394487,0.125116029,0.185144408,0.457627913,0.04197901,0.014618608,0.000432932,497000000.0,0.064043586,0.03,0.210992465,0.528595011,0.000461123,0.791961131,0.078291136,0.961314353,0.005847572,0.000462222,0.00012399,0.250330065,0.32431504,0.279905117,0.017472288,0.994618323,0.741106545,0.361623765,1150000000.0,0.935902026,0.00236591,0.007058485,0.001125843,9150000000.0,0.594037185,1790000000.0,0.671554878,0.000311988,0.994618323,0.361623765,0.110988987,0.635556274,0.458489401,0.438036113,0.310878528,0.04077025,0,0.801566055,0.005321662,0.61783831,0.61066235,0.841437549,0.303878757,0.027383548,0.5669684,1,0.013547116
